신규분류 요약코드,제품군,공정,최소목표일
1-Day_Color_Sph,BELLA D_Cedar + -00.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Cedar + -00.00,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Cedar + -00.00,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Cedar + -00.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Cedar + -00.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Cedar + -00.75,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Cedar + -00.75,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Cedar + -00.75,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Cedar + -00.75,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Cedar + -00.75,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Cedar + -02.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Cedar + -02.00,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Cedar + -02.00,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Cedar + -02.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Cedar + -02.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Cedar + -02.50,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Cedar + -02.50,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Cedar + -02.50,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Cedar + -02.50,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Cedar + -02.50,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Garnet + -00.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Garnet + -00.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Garnet + -00.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Pine + -00.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Pine + -00.00,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Pine + -00.00,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Pine + -00.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Pine + -00.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Star + -00.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Star + -00.00,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Star + -00.00,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Star + -00.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Star + -00.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Star + -01.75,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Star + -01.75,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Star + -01.75,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Star + -03.75,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Star + -03.75,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Star + -03.75,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Star + -03.75,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Star + -03.75,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Star + -04.00,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Star + -04.00,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Star + -04.00,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Star + -04.00,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Star + -04.00,하이드레이션,2026-05-11
1-Day_Color_Sph,BELLA D_Star + -04.50,누수규격,2026-05-14
1-Day_Color_Sph,BELLA D_Star + -04.50,분리,2026-05-10
1-Day_Color_Sph,BELLA D_Star + -04.50,사출,2026-05-09
1-Day_Color_Sph,BELLA D_Star + -04.50,접착,2026-05-13
1-Day_Color_Sph,BELLA D_Star + -04.50,하이드레이션,2026-05-11
1-Day_Color_Sph,DYE D_LAVA + -04.00,누수규격,2026-05-14
1-Day_Color_Sph,DYE D_LAVA + -04.00,분리,2026-05-10
1-Day_Color_Sph,DYE D_LAVA + -04.00,사출,2026-05-09
1-Day_Color_Sph,DYE D_LAVA + -04.00,접착,2026-05-13
1-Day_Color_Sph,DYE D_LAVA + -04.00,하이드레이션,2026-05-11
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -01.50,누수규격,2026-05-11
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -01.50,접착,2026-05-10
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -01.75,누수규격,2026-05-11
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -01.75,접착,2026-05-10
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -02.75,누수규격,2026-05-11
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -02.75,접착,2026-05-10
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -05.75,누수규격,2026-05-11
1-Day_Color_Sph,JEWEL MOON D_Ice gray Moon + -05.75,접착,2026-05-10
1-Day_Sph,sincere Natural 1day + -01.75,누수규격,2026-05-04
1-Day_Sph,sincere Natural 1day + -01.75,접착,2026-05-03
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -00.00,분리,2026-04-02
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -00.00,사출,2026-04-01
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -01.00,분리,2026-04-02
