제품 코드,건수,예시_제품군
R1026-02.00,5,O2O2 D_UV_Spherical_FGC + -02.00
Q1026-02.00,5,O2O2 D_UV_Spherical_FGC + -02.00
Q0174-07.00DBK3,4,Clalen O2O2 D_Micelia_Deep Black_10P + -07.00
Q0174-08.00DBK3,4,Clalen O2O2 D_Micelia_Deep Black_10P + -08.00
Q0175-01.50LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -01.50
Q0175-01.75LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -01.75
Q0175-02.25LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -02.25
Q0175-02.50LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -02.50
Q0175-03.00LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -03.00
Q0175-03.25LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -03.25
Q0175-03.75LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -03.75
Q0175-04.00LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -04.00
Q0175-04.25LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -04.25
Q0175-06.50LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -06.50
Q0175-07.00LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -07.00
Q0175-08.00LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -08.00
Q0176-01.00MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -01.00
Q0176-01.25MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -01.25
Q0175-01.00LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -01.00
Q0175-01.25LKG3,4,Clalen O2O2 D_Micelia_Lake Gray_10P + -01.25
Q0176-02.00MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -02.00
Q0176-01.75MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -01.75
Q0176-02.75MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -02.75
Q0176-02.25MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -02.25
Q0176-03.25MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -03.25
Q0176-03.50MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -03.50
Q0176-03.75MBN3,4,Clalen O2O2 D_Micelia_Mute Brown_10P + -03.75
