공장,공정,생산일자,양품
A관(1공장),누수규격,2026-06-01,92717.0
A관(1공장),누수규격,2026-06-02,123480.0
A관(1공장),누수규격,2026-06-03,110845.0
A관(1공장),누수규격,2026-06-04,120619.0
A관(1공장),누수규격,2026-06-05,134884.0
A관(1공장),누수규격,2026-06-06,158754.0
A관(1공장),누수규격,2026-06-07,107687.0
A관(1공장),누수규격,2026-06-08,126318.0
A관(1공장),누수규격,2026-06-09,125714.0
A관(1공장),누수규격,2026-06-10,138349.0
A관(1공장),누수규격,2026-06-11,116377.0
A관(1공장),누수규격,2026-06-12,145503.0
A관(1공장),누수규격,2026-06-13,129408.0
A관(1공장),분리,2026-06-01,72454.0
A관(1공장),분리,2026-06-02,69218.0
A관(1공장),분리,2026-06-03,74896.0
A관(1공장),분리,2026-06-04,81720.0
A관(1공장),분리,2026-06-05,69850.0
A관(1공장),분리,2026-06-06,78617.0
A관(1공장),분리,2026-06-07,89524.0
A관(1공장),분리,2026-06-08,90046.0
A관(1공장),분리,2026-06-09,97470.0
A관(1공장),분리,2026-06-10,88393.0
A관(1공장),분리,2026-06-11,78319.0
A관(1공장),분리,2026-06-12,81132.0
A관(1공장),분리,2026-06-13,66925.0
A관(1공장),분리,2026-06-14,1914.0
A관(1공장),사출,2026-06-01,120367.0
A관(1공장),사출,2026-06-02,78303.0
A관(1공장),사출,2026-06-03,110941.0
A관(1공장),사출,2026-06-04,95574.0
A관(1공장),사출,2026-06-05,107371.0
A관(1공장),사출,2026-06-06,109283.0
A관(1공장),사출,2026-06-07,119395.0
A관(1공장),사출,2026-06-08,126836.0
A관(1공장),사출,2026-06-09,80164.0
A관(1공장),사출,2026-06-10,134398.0
A관(1공장),사출,2026-06-11,135288.0
A관(1공장),사출,2026-06-12,138057.0
A관(1공장),사출,2026-06-13,219846.0
A관(1공장),접착,2026-06-01,102221.0
A관(1공장),접착,2026-06-02,121263.0
A관(1공장),접착,2026-06-03,119426.0
A관(1공장),접착,2026-06-04,151014.0
A관(1공장),접착,2026-06-05,125172.0
A관(1공장),접착,2026-06-06,153121.0
A관(1공장),접착,2026-06-07,121012.0
A관(1공장),접착,2026-06-08,131531.0
A관(1공장),접착,2026-06-09,129655.0
A관(1공장),접착,2026-06-10,138019.0
A관(1공장),접착,2026-06-11,146141.0
A관(1공장),접착,2026-06-12,160199.0
A관(1공장),접착,2026-06-13,146414.0
A관(1공장),접착,2026-06-14,0.0
A관(1공장),하이드레이션,2026-06-01,77592.0
A관(1공장),하이드레이션,2026-06-02,74085.0
A관(1공장),하이드레이션,2026-06-03,72272.0
A관(1공장),하이드레이션,2026-06-04,129214.0
A관(1공장),하이드레이션,2026-06-05,108284.0
A관(1공장),하이드레이션,2026-06-06,127922.0
A관(1공장),하이드레이션,2026-06-07,140716.0
A관(1공장),하이드레이션,2026-06-08,123053.0
A관(1공장),하이드레이션,2026-06-09,141203.0
A관(1공장),하이드레이션,2026-06-10,130457.0
A관(1공장),하이드레이션,2026-06-11,153811.0
A관(1공장),하이드레이션,2026-06-12,117142.0
A관(1공장),하이드레이션,2026-06-13,132379.0
C관(2공장),누수규격,2026-06-01,870727.0
