설비 사이트 코드,공정 코드,계획 수량
총합계,총합계,42741952
C관(2공장),[55]접착/멸균,6034102
C관(2공장),[80]누수/규격검사,5950628
C관(2공장),[45]하이드레이션/전면검사,5757595
C관(2공장),[20]분리,5593297
C관(2공장),[10]사출조립,4375860
C관(2공장),[85]포장,2184055
S관(3공장),[10]사출조립,2089560
S관(3공장),[55]접착/멸균,1906132
S관(3공장),[20]분리,1852374
S관(3공장),[80]누수/규격검사,1817079
S관(3공장),[45]하이드레이션/전면검사,1597920
A관(1공장),[85]포장,1233548
A관(1공장),[55]접착/멸균,558059
A관(1공장),[80]누수/규격검사,523110
A관(1공장),[45]하이드레이션/전면검사,459668
A관(1공장),[30]외주,297530
A관(1공장),[25]외주이동,217980
A관(1공장),[10]사출조립,166752
A관(1공장),[20]분리,126703
