설비 사이트 코드,공정,제품 코드,최소목표일
A관(1공장),누수규격,P0575S-00.25-0.75170,2026-06-22
A관(1공장),누수규격,P0575S-02.00-0.75020,2026-08-18
A관(1공장),누수규격,P0575S-03.50-1.75010,2026-08-18
A관(1공장),누수규격,P0575S-03.75-0.75090,2026-06-22
A관(1공장),누수규격,P0575S-04.50-0.75020,2026-07-02
A관(1공장),누수규격,P0575S-04.75-0.75180,2026-08-18
A관(1공장),누수규격,P0575S-06.00-2.25180,2026-08-18
A관(1공장),누수규격,P0575S-07.00-0.75170,2026-07-02
A관(1공장),누수규격,P0584M-00.00MOO3,2026-07-01
A관(1공장),누수규격,P0584M-01.00MOO3,2026-07-01
A관(1공장),누수규격,P0584M-01.25MOO3,2026-07-01
A관(1공장),누수규격,P0584M-01.50MOO3,2026-07-01
A관(1공장),누수규격,P0584M-02.00MOO3,2026-07-01
A관(1공장),누수규격,P0584M-02.25MOO3,2026-07-01
A관(1공장),누수규격,P0584M-02.50MOO3,2026-07-01
A관(1공장),누수규격,P0584M-02.75MOO3,2026-07-01
A관(1공장),누수규격,P0584M-03.50MOO3,2026-07-01
A관(1공장),누수규격,P0584M-04.00MOO3,2026-07-01
A관(1공장),누수규격,P0584M-04.50MOO3,2026-07-01
A관(1공장),누수규격,P0584M-05.25MOO3,2026-07-01
A관(1공장),누수규격,P0584M-05.50MOO3,2026-07-01
A관(1공장),누수규격,P0584M-05.75MOO3,2026-07-01
A관(1공장),누수규격,P0585M-00.00STU3,2026-07-01
A관(1공장),누수규격,P0585M-01.50STU3,2026-07-01
A관(1공장),누수규격,P0585M-01.75STU3,2026-07-01
A관(1공장),누수규격,P0585M-02.25STU3,2026-07-01
A관(1공장),누수규격,P0585M-02.75STU3,2026-07-01
A관(1공장),누수규격,P0585M-03.25STU3,2026-07-01
A관(1공장),누수규격,P0585M-04.50STU3,2026-07-01
A관(1공장),누수규격,P0585M-05.00STU3,2026-07-01
A관(1공장),누수규격,P0585M-05.25STU3,2026-07-01
A관(1공장),누수규격,P0585M-05.75STU3,2026-07-01
A관(1공장),누수규격,P0585M-06.00STU3,2026-07-01
A관(1공장),누수규격,P0610M-03.50BRW2,2026-06-16
A관(1공장),누수규격,P0610M-04.00BRW2,2026-06-16
A관(1공장),누수규격,P0610M-04.75BRW2,2026-06-16
A관(1공장),누수규격,P0610M-06.00BRW2,2026-06-16
A관(1공장),누수규격,P0610M-10.00BRW2,2026-06-16
A관(1공장),누수규격,P0614M-00.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-00.75PFB2,2026-06-16
A관(1공장),누수규격,P0614M-01.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-01.75PFB2,2026-06-16
A관(1공장),누수규격,P0614M-02.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-02.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-02.75PFB2,2026-06-16
A관(1공장),누수규격,P0614M-03.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-03.25PFB2,2026-06-16
A관(1공장),누수규격,P0614M-03.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-03.75PFB2,2026-06-16
A관(1공장),누수규격,P0614M-04.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-04.25PFB2,2026-06-16
A관(1공장),누수규격,P0614M-04.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-04.75PFB2,2026-06-16
A관(1공장),누수규격,P0614M-05.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-05.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-06.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-06.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-07.00PFB2,2026-06-16
A관(1공장),누수규격,P0614M-07.50PFB2,2026-06-16
A관(1공장),누수규격,P0614M-08.00PFB2,2026-06-16
A관(1공장),누수규격,P0615M-00.00HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-00.75HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-01.00HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-02.00HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-02.50HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-03.00HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-04.00HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-05.50HAZ2,2026-06-16
A관(1공장),누수규격,P0615M-10.00HAZ2,2026-06-16
A관(1공장),누수규격,P1112R8.50-10.00,2026-08-02
A관(1공장),누수규격,P1141V8.60+02.50,2026-06-27
A관(1공장),누수규격,P1141V8.60+06.00,2026-06-27
A관(1공장),누수규격,P1141V8.60+06.25,2026-06-27
A관(1공장),누수규격,P1141V8.60+07.00,2026-06-27
A관(1공장),누수규격,P1200V8.60+03.50,2026-07-09
A관(1공장),누수규격,P1200V8.60-03.00,2026-07-09
A관(1공장),누수규격,P1200V8.60-03.25,2026-07-09
A관(1공장),누수규격,P1201S8.60-01.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-01.25,2026-08-02
A관(1공장),누수규격,P1201S8.60-01.50,2026-08-02
A관(1공장),누수규격,P1201S8.60-01.75,2026-08-02
A관(1공장),누수규격,P1201S8.60-02.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-02.25,2026-08-02
A관(1공장),누수규격,P1201S8.60-02.50,2026-08-02
A관(1공장),누수규격,P1201S8.60-02.75,2026-08-02
A관(1공장),누수규격,P1201S8.60-03.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-03.25,2026-08-02
A관(1공장),누수규격,P1201S8.60-03.50,2026-08-02
A관(1공장),누수규격,P1201S8.60-04.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-04.25,2026-08-02
A관(1공장),누수규격,P1201S8.60-04.50,2026-08-02
A관(1공장),누수규격,P1201S8.60-05.75,2026-08-02
A관(1공장),누수규격,P1201S8.60-06.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-06.50,2026-08-02
A관(1공장),누수규격,P1201S8.60-08.00,2026-08-02
A관(1공장),누수규격,P1201S8.60-09.00,2026-08-02
A관(1공장),누수규격,P1203R8.60-01.00,2026-08-02
A관(1공장),누수규격,P1203R8.60-01.25,2026-08-02
A관(1공장),누수규격,P1203R8.60-01.50,2026-08-02
A관(1공장),누수규격,P1203R8.60-01.75,2026-08-02
A관(1공장),누수규격,P1203R8.60-02.00,2026-08-02
A관(1공장),누수규격,P1203R8.60-02.25,2026-08-02
A관(1공장),누수규격,P1203R8.60-02.75,2026-08-02
A관(1공장),누수규격,P1203R8.60-03.00,2026-08-02
A관(1공장),누수규격,P1203R8.60-03.25,2026-08-02
A관(1공장),누수규격,P1203R8.60-03.50,2026-08-02
A관(1공장),누수규격,P1203R8.60-03.75,2026-08-02
A관(1공장),누수규격,P1203R8.60-04.00,2026-08-02
A관(1공장),누수규격,P1203R8.60-04.25,2026-08-02
A관(1공장),누수규격,P1203R8.60-04.50,2026-08-02
A관(1공장),누수규격,P1206S8.60+00.50,2026-07-02
A관(1공장),누수규격,P1206S8.60+01.00,2026-08-02
